STATE,COUNTY,MONTH,DAY,HOUR,MINUTE,VE_FORMS,ROAD_FNC,HARM_EV,MAN_COLL,SCH_BUS,VEH_NO,MAKE,BODY_TYP,MOD_YEAR,ROLLOVER,TOW_VEH,SPEC_USE,EMER_USE,IMPACT1,IMPACT2,IMPACTS,FIRE_EXP,WGTCD_TR,PER_NO,N_MOT_NO,AGE,SEX,PER_TYP,SEAT_POS,LOCATION,EJECTION,EXTRICAT,ALC_DET,DRINKING,INJ_SEV,HOSPITAL,DEATH_MO,DEATH_DA,DEATH_YR,DEATH_HR,DEATH_MN,LAG_HRS,LAG_MINS,P_CF1,P_CF2,P_CF3,WORK_INJ,ST_CASE,MAK_MOD,VIN_WGT,WHLBS_SH,WHLBS_LG,MCYCL_DS,DEATH_TM,CERT_NO,SER_TR,VINA_MOD,VIN_BT,REST_USE,AIR_BAG,EJ_PATH,DRUGS,DRUG_DET,DRUGTEST,DRUG_RES,ALC_RES
6,1,4,20,16,30,2,11,12,1,0,1,12,21,85,0,0,0,0,6,6,2,0,2,1,0,28,1,1,11,0,0,0,9,0,0,0,0,0,0,0,0,,,0,0,0,8,60896,12461,,,,,0,000000000000,VAN,35V,VN,3,9,0,8,8,0,0,96
6,1,4,20,16,30,2,11,12,1,0,2,76,80,79,0,0,0,0,12,12,1,0,,1,0,32,1,1,11,0,0,0,9,9,4,1,4,20,92,17,15,0,45,0,0,0,0,60896,76799,,,,1101,1715,************,***,X11,RS,5,9,0,9,8,1,1,0
6,71,4,20,20,8,2,1,12,1,0,0,,,,,,,,,,,,,1,2,33,2,5,0,12,0,0,9,0,3,1,0,0,0,0,0,,,4,0,0,8,60980,,,,,,0,000000000000,,,,0,0,0,8,8,0,0,96
6,71,4,20,20,8,2,1,12,1,0,1,41,2,85,0,0,0,0,6,7,2,0,,1,0,6,1,2,21,0,0,0,9,8,4,0,4,20,92,20,8,0,0,0,0,0,0,60980,41037,2335,988,0,,2008,************,***,626,CP,0,9,0,8,8,1,1,0
6,71,4,20,20,8,2,1,12,1,0,1,41,2,85,0,0,0,0,6,7,2,0,,2,0,8,2,2,23,0,0,0,9,8,2,1,0,0,0,0,0,,,0,0,0,8,60980,41037,2335,988,0,,0,000000000000,***,626,CP,0,9,0,8,8,0,0,96
6,71,4,20,20,8,2,1,12,1,0,2,84,66,89,0,1,0,0,12,1,1,0,9,1,0,63,1,1,11,0,0,0,9,0,0,0,0,0,0,0,0,,,0,0,0,8,60980,84899,9999,9999,9999,9999,0,000000000000,999,999,99,0,9,0,8,8,0,0,96
6,47,4,20,20,15,2,12,12,1,0,1,12,41,59,0,0,0,0,11,11,1,0,9,1,0,32,1,1,11,0,0,0,5,1,4,0,4,20,92,20,30,0,15,0,0,0,0,60981,12499,9999,9999,9999,9999,2030,************,999,999,99,0,9,0,8,8,1,6,24
6,47,4,20,20,15,2,12,12,1,0,2,82,66,89,0,2,0,0,6,6,2,0,8,1,0,48,1,1,11,0,0,0,9,9,0,0,0,0,0,0,0,,,0,0,0,8,60981,82884,,,,,0,000000000000,WCN,WCS,DS,0,9,0,9,8,0,0,96
6,37,4,20,20,30,1,13,8,0,0,0,,,,,,,,,,,,,1,1,58,2,5,0,12,0,0,9,9,4,1,4,20,92,21,27,0,57,3,0,0,0,61401,,,,,,2127,************,,,,0,0,0,9,8,1,1,0
6,37,4,20,20,30,1,13,8,0,0,1,99,9,99,0,0,0,0,99,99,1,0,9,1,0,99,9,1,11,0,0,0,9,9,0,0,0,0,0,0,0,,,0,0,0,8,61401,99399,9999,9999,9999,9999,0,000000000000,999,999,99,9,9,0,9,8,0,0,96
6,37,4,20,19,45,4,12,13,2,0,1,12,31,73,0,0,0,0,1,8,1,0,2,1,0,25,1,1,11,0,1,0,5,1,2,1,0,0,0,0,0,,,0,0,0,8,61626,12481,,,,,0,000000000000,COF,F25,PK,9,9,9,8,8,0,0,9
6,37,4,20,19,45,4,12,13,2,0,1,12,31,73,0,0,0,0,1,8,1,0,2,2,0,99,1,2,19,0,0,1,5,1,2,1,0,0,0,0,0,,,0,0,0,8,61626,12481,,,,,0,000000000000,COF,F25,PK,9,9,0,8,8,0,0,96
6,37,4,20,19,45,4,12,13,2,0,1,12,31,73,0,0,0,0,1,8,1,0,2,3,0,99,1,2,19,0,0,1,5,1,3,1,0,0,0,0,0,,,0,0,0,8,61626,12481,,,,,0,000000000000,COF,F25,PK,9,9,0,8,8,0,0,96
6,37,4,20,19,45,4,12,13,2,0,1,12,31,73,0,0,0,0,1,8,1,0,2,4,0,28,1,2,19,0,2,0,5,1,4,0,4,20,92,19,53,0,8,0,0,0,0,61626,12481,,,,,1953,************,COF,F25,PK,9,9,9,8,8,1,4,39
6,37,4,20,19,45,4,12,13,2,0,2,23,62,85,0,0,0,0,12,11,1,0,8,1,0,24,1,1,11,0,0,0,9,0,0,0,0,0,0,0,0,,,0,0,0,8,61626,23881,,,,,0,000000000000,J95,J96,TM,2,9,0,8,8,0,0,96
